MatrixRowID,RowType,Year,WindowStart,WindowEnd,SourceID,SourceName,SourceType,SourceDependenceGroup,SourceRole,AccessStatus,SearchStatus,CoverageStatus,DependencyAuditStatus,QueryProtocolVersion,QueryProtocolNotes,SearchStartedAt,SearchCompletedAt,RawHits,CandidateRows,IncludedRussiaProper,ExcludedOutsideRussiaProper,ExcludedCrimeaScope,ExcludedNotEvent,ExcludedOtherScope,DuplicateRows,UnresolvedRows,NewUniqueAfterMerge,MarginalYieldPct,SearchPassCount,StopRuleStatus,EvidenceArchivePath,CandidateRegisterVersion,ReviewStatus,DedupeReviewStatus,C1_TimeCoverage,C2_IndependentDiscovery,C3_AllCandidatesCoded,C4_DedupeComplete,C5_NoOutcomeRelevantUnresolved,C6_SourceConvergence,C7_VersionFrozen,RowAcceptanceStatus,YearAcceptanceStatus,CandidateCensusComplete,Notes
YR-2022,YEAR_SUMMARY,2022,2022-02-24,2022-12-31,YEAR_SUMMARY,Annual completeness summary,YEAR_SUMMARY,NA,SUMMARY,NA,NOT_STARTED,UNKNOWN,NA,DEEP-COMP-V1,Aggregate row; populated only from completed source rows.,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_READY,NOT_READY,FALSE,All annual gates default FALSE until demonstrated by evidence.
SRC-2022-VIINA,SOURCE,2022,2022-02-24,2022-12-31,VIINA,VIINA 2.0,AGGREGATOR,DG_VIINA,CORE_DISCOVERY,AVAILABLE,COMPLETED,FULL_PROTOCOL,NOT_REVIEWED,VIINA_2022_ACTOR_INDEPENDENT_V1,,,,2060,639,,,,,,132,0,,,1,NOT_EVALUATED,output/VIINA_2022_REBUILD.csv|output/VIINA_2022_REBUILD_SUMMARY.txt|output/VIINA_2022_REBUILD_PROVENANCE.txt|output/VIINA_2022_EXACT_DEDUPE.csv|output/VIINA_2022_EXACT_DEDUPE_SUMMARY.txt|output/VIINA_2022_RUSSIA_PRIORITY_MANUAL_REVIEW_V2.csv|output/VIINA_2022_R5_HIGH_PRIORITY_MANUAL_REVIEW_V3.csv|output/VIINA_2022_R5_MEDIUM_PRIORITY_MANUAL_REVIEW_V3.csv|output/VIINA_2022_LOW_PRIORITY_RESIDUAL_MANUAL_REVIEW_V1.csv|output/VIINA_2022_LANE_CLOSURE_V1.txt,,COMPLETE,COMPLETE,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,VIINA 2022 actor-independent lane fully reviewed and deduplicated for census relevance; outcome-relevant unresolved rows=0. Lane review and dedupe COMPLETE. Overall 2022 census remains incomplete because Reuters and remaining C1-C7 completeness gates are not complete.
SRC-2022-REUTERS,SOURCE,2022,2022-02-24,2022-12-31,REUTERS,Reuters reporting / chronology search,NEWSWIRE,DG_REUTERS,CORE_DISCOVERY,AVAILABLE,NOT_STARTED,UNKNOWN,NOT_REVIEWED,DEEP-COMP-V1,,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,Systematic archive/query pass required for full study window.
SRC-2022-BAKER,SOURCE,2022,2022-02-24,2022-12-31,BAKER,Baker Institute Russia energy-strike dataset,RESEARCH_DATASET,DG_BAKER,VALIDATION,ACCESS_REQUIRED,NOT_STARTED,UNKNOWN,NOT_REVIEWED,DEEP-COMP-V1,,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,Dataset acquisition/permission status must be documented before use.
SRC-2022-ACLED,SOURCE,2022,2022-02-24,2022-12-31,ACLED,ACLED event data,EVENT_DATASET,DG_ACLED,VALIDATION,ACCESS_REQUIRED,NOT_STARTED,UNKNOWN,NOT_REVIEWED,DEEP-COMP-V1,,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,"Authenticated access may be required; access failure must be recorded, not silently skipped."
SRC-2022-UA_OFFICIAL,SOURCE,2022,2022-02-24,2022-12-31,UA_OFFICIAL,Ukraine official sources: General Staff / SBU / DIU / SOF,OFFICIAL_UA,DG_UA_OFFICIAL,SUPPLEMENTAL_DISCOVERY,AVAILABLE,NOT_STARTED,UNKNOWN,NOT_REVIEWED,DEEP-COMP-V1,,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,Search all applicable official channels and archived releases; source dependence within this lane is one group.
SRC-2022-RU_OFFICIAL,SOURCE,2022,2022-02-24,2022-12-31,RU_OFFICIAL,Russia official/regional authorities and operators,OFFICIAL_RU,DG_RU_OFFICIAL,SUPPLEMENTAL_DISCOVERY,AVAILABLE,NOT_STARTED,UNKNOWN,NOT_REVIEWED,DEEP-COMP-V1,,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,"Use regional governors, ministries, operators and official statements as one audited lane; derivative reposts do not add independence."
SRC-2022-OSINT_SECTOR,SOURCE,2022,2022-02-24,2022-12-31,OSINT_SECTOR,Sector-specific OSINT / infrastructure chronologies,OSINT_SPECIALIST,DG_OSINT_SPECIALIST,VALIDATION_DISCOVERY,AVAILABLE,NOT_STARTED,UNKNOWN,NOT_REVIEWED,DEEP-COMP-V1,,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,Use only sources with reproducible event-level references; record upstream dependencies.
YR-2023,YEAR_SUMMARY,2023,2023-01-01,2023-12-31,YEAR_SUMMARY,Annual completeness summary,YEAR_SUMMARY,NA,SUMMARY,NA,NOT_STARTED,UNKNOWN,NA,DEEP-COMP-V1,Aggregate row; populated only from completed source rows.,,,,,,,,,,,,,,,NOT_EVALUATED,,,NOT_STARTED,NOT_STARTED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_READY,NOT_READY,FALSE,All annual gates default FALSE until demonstrated by evidence.
SRC-2023-VIINA,SOURCE,2023,2023-01-01,2023-12-31,VIINA,VIINA 2.0,AGGREGATOR,DG_VIINA,CORE_DISCOVERY,AVAILABLE,COMPLETED,FULL_PROTOCOL,NOT_REVIEWED,VIINA_2023_STAGE1_STABLE_V1,,,,650,221,,,,,,24,0,,,1,NOT_EVALUATED,output/VIINA_2023_REBUILD.csv|output/VIINA_2023_POST_EXACT_DEDUPE_REVIEW.csv|output/VIINA_2023_RUSSIA_PRIORITY.csv|output/VIINA_2023_STAGE1_SUMMARY.txt|output/VIINA_2023_STAGE1_PROVENANCE.txt|output/VIINA_2023_RUSSIA_PRIORITY_MANUAL_REVIEW_V1.csv|output/VIINA_2023_UNKNOWN_HIGH_PRIORITY_MANUAL_REVIEW_V2.csv|output/VIINA_2023_UNKNOWN_M2_MANUAL_REVIEW_V2.csv|output/VIINA_2023_LOW_RESIDUAL_MANUAL_REVIEW_V1.csv|output/VIINA_2023_LANE_CLOSURE_V1.txt,,COMPLETE,COMPLETE,NA,NA,NA,NA,NA,NA,NA,NOT_READY,NA,FALSE,"VIINA 2023 stable lane fully reviewed and deduplicated for census relevance; outcome-relevant unresolved rows=0. Two Russia-proper census candidates retained (Taman/Volna 2023-05-03 and Voronezh Rosneft 2023-12-12), both CENSUS_CANDIDATE_ONLY pending independent-source confirmation. Overall 2023 census remains incomplete because Reuters and remaining C1-C7 completeness gates are not complete."
