CanonicalCandidateID,CanonicalEventDateFinal,TargetFinal,ReutersCandidateID,VIINAOverlapID,CrossLaneDisposition,FinalC5Status,OutcomeRelevantUnresolvedFinal,CountDisposition,PostC5LedgerDelta
DEEP22-001,2022-03-29,Krasny Oktyabr/Belgorod ammunition depot,R22C-001,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Date corrected from 2022-03-30 to 2022-03-29; target/attribution resolved."
DEEP22-002,2022-06-22,Novoshakhtinsk oil refinery,R22C-002,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Attribution resolved; V1 ledger OutcomeRelevantUnresolved is stale."
DEEP22-003,2022-04-01,Belgorod oil depot,R22C-003,147220-RU1,CROSS_LANE_DUPLICATE_MERGED,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"No count delta; VIINA and Reuters represent the same event."
DEEP22-004,2022-04-25,Bryansk Transneft-Druzhba oil storage,R22C-004,,REUTERS_ONLY,FORMALLY_UNDECIDABLE,TRUE,UNRESOLVED_RUSSIA_PROPER_CANDIDATE,"Actor attribution remains unresolved."
DEEP22-005,2022-04-27,Staraya Nelidovka ammunition depot,R22C-005,,REUTERS_ONLY,FORMALLY_UNDECIDABLE,TRUE,UNRESOLVED_RUSSIA_PROPER_CANDIDATE,"Actor/cause remains unresolved."
DEEP22-006,2022-08-18,Timonovo/Soloti ammunition depot,R22C-006,,REUTERS_ONLY,FORMALLY_UNDECIDABLE,TRUE,UNRESOLVED_RUSSIA_PROPER_CANDIDATE,"Actor/cause remains unresolved."
DEEP22-007,2022-09-16,Valuyki electricity substation,R22C-007,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"No post-C5 count delta."
DEEP22-008,2022-11-30,Surazh Kombinat Slava Rosrezerv fuel storage,R22C-008,,REUTERS_ONLY,FORMALLY_UNDECIDABLE,TRUE,UNRESOLVED_RUSSIA_PROPER_CANDIDATE,"Target identity improved from generic oil-storage tank; drone operator remains unresolved."
DEEP22-009,2022-10-15,Razumnoye-71 fuel/oil depot,R22C-009,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Target and attribution resolved; V1 ledger OutcomeRelevantUnresolved is stale."
DEEP22-010,2022-10-13,Oktyabrsky ammunition depot,R22C-010,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Target locality and attribution resolved; V1 ledger OutcomeRelevantUnresolved is stale."
DEEP22-011,2022-12-05,Engels strategic bomber air base,R22C-011,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Distinct 5-Dec wave."
DEEP22-012,2022-12-05,Dyagilevo military air base,R22C-012,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Distinct physical component of the 5-Dec report."
DEEP22-013,2022-12-06,Kursk airfield oil-storage tank,R22C-013,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Ukrainian attribution resolved by event-specific senior Ukrainian official background confirmation; V1 ledger OutcomeRelevantUnresolved is stale."
DEEP22-014,2022-12-26,Engels strategic bomber air base,R22C-014,291978,CROSS_LANE_DUPLICATE_MERGED,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"No count delta; VIINA and Reuters represent the same repeat wave."
DEEP22-015,2022-10-11,Shebekino electricity substation,R22C-015,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"No post-C5 count delta."
DEEP22-016,2022-10-13,Popovo-Lezhachi transformer substation,R22C-016,,REUTERS_ONLY,CLOSED,FALSE,RESOLVED_RUSSIA_PROPER_CANDIDATE,"Target/Node and attribution resolved; V1 ledger OutcomeRelevantUnresolved is stale."
DEEP22-017,2022-11-29,Sudzha district energy-supply object,R22C-017,,REUTERS_ONLY,FORMALLY_UNDECIDABLE,TRUE,UNRESOLVED_RUSSIA_PROPER_CANDIDATE,"Canonical date corrected from 2022-11-30 to 2022-11-29; Ukrainian attribution resolved but exact TargetID/NodeID remains unresolved."
