SourceComponentID,SearchCellID,SourceRecordID,SourceURL,SourcePublishedAt,CanonicalEventDate,SearchFamily,Location,TargetOrCluster,ReutersEvidenceSummary,SourceDependenceGroup,DiscoveryStatus,LedgerTransferStatus,Notes
R22S-Q1-R4-01,Q1-R4,R22-REU-20220402-BELGOROD-AMMO-MAR30,https://www.euronews.com/2022/04/02/us-ukraine-crisis-russia-belgorod-strike,2022-04-02,2022-03-30,R4_DEFENSE_INDUSTRY,Belgorod region,Unnamed ammunition depot near Belgorod,"Reuters noted that an ammunition depot near Belgorod had caught fire on the Wednesday before the 1-Apr fuel-depot strike; regional authorities were awaiting the Russian defence ministry's determination of the cause.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Canonical event date is 2022-03-30. Cause/actor unresolved; retain fixed military-storage candidate without inferring Ukrainian responsibility."
R22S-Q2-R1-01,Q2-R1,R22-REU-20220622-NOVOSHAKHTINSK,https://www.yahoo.com/news/fire-breaks-russias-novoshakhtinsk-oil-073611337.html,2022-06-22,2022-06-22,R1_ENERGY_REFINING,Novoshakhtinsk Rostov region,Novoshakhtinsk oil refinery,"Reuters reported the refinery said two drones flying from the direction of Ukraine struck the plant; the first hit a crude-distillation unit causing blast/fire, the second targeted crude reservoirs, and production was suspended.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Strong physical-effect evidence; direction-of-flight does not by itself settle actor attribution."
R22S-Q2-R2-01,Q2-R2,R22-REU-20220401-BELGOROD,https://www.yahoo.com/news/ukraine-strikes-fuel-depot-russias-044900762.html,2022-04-01,2022-04-01,R2_ENERGY_STORAGE_EXPORT,Belgorod,Belgorod fuel/oil depot,"Reuters reported Russian accusation that two Ukrainian helicopters struck the depot; Reuters-verified/location-verified footage showed attack/fire context; Ukrainian responsibility disputed.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Physical facility effect clear; actor attribution conflict must be coded separately."
R22S-Q2-R2-02,Q2-R2,R22-REU-20220425-BRYANSK,https://www.euronews.com/2022/04/25/us-russia-fire-oilstorage,2022-04-25,2022-04-25,R2_ENERGY_STORAGE_EXPORT,Bryansk,Transneft oil storage facility,"Reuters reported large fire at Transneft oil-storage facility; cause not established and Ukraine connection speculative at publication.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Discovery candidate only until actor/event eligibility coding."
R22S-Q2-R4-01,Q2-R4,R22-REU-20220427-STARAYA-NELIDOVKA,https://www.boursorama.com/bourse/actualites/des-explosions-entendues-dans-la-ville-russe-de-belgorod-gouverneur-4cd00844f20dc43e1a22ee77bce78352,2022-04-27,2022-04-27,R4_DEFENSE_INDUSTRY,Staraya Nelidovka Belgorod region,Ammunition depot,"Reuters reported the Belgorod governor said an ammunition depot was on fire after blasts; a separate Reuters report recorded a Ukrainian presidential adviser describing such incidents as payback/karma without directly claiming responsibility.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Physical military-storage event established; actor attribution remains unresolved and must not be inferred."
R22S-Q4-R2-01,Q4-R2,R22-REU-20221130-SURAZH,https://www.yahoo.com/news/fire-oil-storage-tank-russias-044439008.html,2022-11-30,2022-11-30,R2_ENERGY_STORAGE_EXPORT,Surazh district Bryansk region,Oil storage tank,"Reuters reported a large oil storage tank fire; governor did not state a cause; same report noted Ukrainian strike on a Kursk-region power plant causing outages.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Cause unresolved; preserve as candidate rather than infer Ukrainian responsibility."
R22S-Q4-R5-01,Q4-R5,R22-REU-20221205-ENGELS,https://www.euronews.com/2022/12/05/ukraine-crisis,2022-12-05,2022-12-05,R5_STRATEGIC_AIR,Engels Saratov region,Engels strategic bomber air base,"Reuters reported Russia said Ukrainian drones attacked Engels and Dyagilevo; light damage to aircraft was reported after interception debris.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Distinct 5-Dec Engels wave."
R22S-Q4-R5-02,Q4-R5,R22-REU-20221205-DYAGILEVO,https://www.euronews.com/2022/12/05/ukraine-crisis,2022-12-05,2022-12-05,R5_STRATEGIC_AIR,Dyagilevo Ryazan region,Dyagilevo military air base,"Reuters reported Russia said Ukrainian drones attacked Dyagilevo and Engels; three servicemen killed, four wounded and aircraft damage reported.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Split component from same Reuters report as Engels."
R22S-Q4-R5-03,Q4-R5,R22-REU-20221206-KURSK,https://theprint.in/world/drone-strikes-oil-tank-at-airfield-in-russias-kursk-region/1250846/,2022-12-06,2022-12-06,R5_STRATEGIC_AIR,Kursk,Kursk airfield oil-storage tank,"Reuters reported regional governor saying a drone struck the airfield and set an oil-storage tank on fire.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Attribution not explicitly assigned by governor; preserve physical effect separately from actor coding."
R22S-Q4-R5-04,Q4-R5,R22-REU-20221226-ENGELS,https://www.euronews.com/2022/12/26/ukraine-crisis-blasts-engels,2022-12-26,2022-12-26,R5_STRATEGIC_AIR,Engels Saratov region,Engels strategic bomber air base,"Reuters reported Russia said it shot down a Ukrainian drone approaching Engels; falling debris killed three air-force personnel; Russia said aircraft were not damaged.",DG_REUTERS,RETAIN,NOT_TRANSFERRED,"Distinct repeat wave; qualifying fixed-target physical effect requires later coding."
