CaseNo,ReutersReconID,CanonicalEventDate,TargetOrEvent,Decision,EvidenceStrength,TargetNodeResolution,DedupeDecision,VIINAOverlap,RegisterEffect,DecisionReason
1,R25R-0004,2025-01-29,23rd GRAU missile arsenal Tver Oblast,CONFIRM,MODERATE_HIGH,NODE_RU_23RD_GRAU_ARSENAL,UNIQUE,NONE_FOUND,ADD_CONFIRMED,"ASTRA independently reported damage to an empty arsenal storage building and three military-unit buildings; target identity and attack wave are resolved."
2,R25R-0020,2025-04-23,Alabuga long-range UAV production site Yelabuga,HOLD_OPEN,CONFLICTED,NODE_RU_ALABUGA_UAV_PRODUCTION,UNIQUE,NONE_FOUND,HOLD_NO_INCREMENT,"Ukraine reported final-assembly-line damage, but Russian/local reporting denied damage and later satellite assessment indicates the visible impact may have landed in open ground. Physical target damage is not established to strict standard."
3,R25R-0021,2025-04-23,Kazan aviation-related defence plant,EXCLUDE,LOW,UNRESOLVED,SPURIOUS_OR_MISEXTRACTED,NONE_FOUND,NO_INCREMENT,"No reproducible target-level evidence was found for a Kazan aviation-plant strike on this date; contemporaneous reporting resolves the Tatarstan target to Alabuga/Yelabuga."
4,R25R-0023,2025-05-28,Kronstadt UAV plant Dubna,CONFIRM,HIGH,NODE_RU_KRONSTADT_DUBNA_UAV_PLANT,UNIQUE,NONE_FOUND,ADD_CONFIRMED,"Reuters reported the Kronstadt target; SVT independently geolocated attack/fire footage to the Dubna drone factory and later satellite imagery showed roof damage."
5,R25R-0024,2025-05-28,Raduga cruise-missile plant Dubna,HOLD_OPEN,MODERATE,NODE_RU_RADUGA_DUBNA_MISSILE_PLANT,UNIQUE,NONE_FOUND,HOLD_NO_INCREMENT,"Target identity is clear and Ukrainian sources report hits/fire in assembly and equipment workshops, but independent target-effect verification sufficient for the strict Reuters register was not found."
6,R25R-0027,2025-06-01,Ivanovo Severny air base,EXCLUDE,HIGH,NODE_RU_IVANOVO_SEVERNY_AIRBASE,ATTEMPT_NO_CONFIRMED_HIT,NONE_FOUND,NO_INCREMENT,"High-resolution post-strike satellite imagery showed no significant aircraft damage; retain as attempted Spiderweb target, not a confirmed physical-hit register event."
7,R25R-0028,2025-06-01,Dyagilevo air base,EXCLUDE,HIGH,NODE_RU_DYAGILEVO_AIRBASE,ATTEMPT_NO_CONFIRMED_HIT,NONE_FOUND,NO_INCREMENT,"High-resolution post-strike satellite imagery showed no significant aircraft damage; analysis judged a target attempt without confirmed aircraft hit."
8,R25R-0029,2025-06-06,Engels fuel-storage/oil-depot node,CONFIRM,HIGH,NODE_RU_ENGELS_FUEL_STORAGE,UNIQUE_DISTINCT_WAVE,NONE_FOUND,ADD_CONFIRMED,"Russian regional reporting acknowledged an Engels industrial-site fire; later satellite imagery showed five to seven fuel reservoirs destroyed or critically damaged after the 6 June attack. Distinct from the 20 March airfield event."
9,R25R-0030,2025-06-06,Dyagilevo airfield,HOLD_OPEN,MODERATE,NODE_RU_DYAGILEVO_AIRBASE,UNIQUE_DISTINCT_WAVE,NONE_FOUND,HOLD_NO_INCREMENT,"Ukraine reported the strike and a large fire, but no sufficiently independent target-level physical-effect confirmation was located for the 6 June wave."
10,R25R-0031,2025-07-07,Ilsky oil refinery,HOLD_OPEN,HIGH_EVENT_LOW_DAMAGE,NODE_RU_ILSKY_REFINERY,UNIQUE_DISTINCT_WAVE,NONE_FOUND,HOLD_NO_INCREMENT,"Krasnodar authorities confirmed UAV debris fell inside a technological workshop area but explicitly reported no visible facility damage, fire or smoke. Event exists, but minimum qualifying physical-effect threshold is unresolved."
