ReutersReconID,CanonicalEventDate,TargetOrEvent,SearchFamily,TransformationClass,SourceComponentID,ExternalPath,MappingStatus,MappingBasis
R25R-0001,2025-01-24,Ryazan oil refinery,R1,1:1,R25S-Q1-R1-03,,EXACT,Exact frozen raw-hit date/target match.
R25R-0002,2025-01-29,Sibur-Kstovo petrochemical plant,R1,1:1,R25S-Q1-R1-10,,EXACT,Exact frozen raw-hit date/target match.
R25R-0003,2025-01-29,Andreapol oil pumping station,R3,1:1,R25S-Q1-R3-01,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
R25R-0004,2025-01-29,23rd missile arsenal Tver region,R4,1:1,R25S-Q1-R4-01,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
R25R-0005,2025-02-03,Astrakhan gas processing plant,R1,1:1,R25S-Q1-R1-07,,EXACT,Exact frozen raw-hit date/target match.
R25R-0006,2025-02-03,Volgograd oil refinery,R1,1:1,R25S-Q1-R1-09,,EXACT,Exact frozen raw-hit date/target match.
R25R-0007,2025-02-11,Saratov oil refinery,R1,1:1,R25S-Q1-R1-05,,EXACT,Exact frozen raw-hit date/target match.
R25R-0008,2025-02-17,Ilsky oil refinery,R1,1:1,R25S-Q1-R1-08,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
R25R-0009,2025-02-17,Kropotkinskaya CPC pumping station,R3,Split,R25S-Q1-R3-02,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
R25R-0010,2025-02-19,Syzran oil refinery,R1,1:1,R25S-Q1-R1-06,,EXACT,Exact frozen raw-hit date/target match.
R25R-0011,2025-02-24,Ryazan oil refinery,R1,1:1,R25S-Q1-R1-04,,EXACT,Exact frozen raw-hit date/target match.
R25R-0012,2025-03-02,Ilsky oil refinery,R1,1:1,R25S-Q1-R1-11,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
R25R-0013,2025-03-04,Chertkovsky district oil pipeline,R3,1:1,R25S-Q1-R3-03,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
R25R-0014,2025-03-08,Kirishi oil refinery,R1,1:1,R25S-Q1-R1-02,,EXACT,Exact frozen raw-hit date/target match.
R25R-0015,2025-03-11,Steel Horse Druzhba station Oryol,R3,1:1,,,UNRESOLVED,
R25R-0016,2025-03-14,Tuapse oil refinery,R1,1:1,R25S-Q1-R1-01,,EXACT,Exact frozen raw-hit date/target match.
R25R-0017,2025-03-19,Kavkazskaya oil depot,R2,1:1,R25S-Q1-R2-01,,EXACT,Exact frozen raw-hit date/target match.
R25R-0018,2025-03-20,Engels strategic bomber airfield,R5,1:1,R25S-Q1-R5-01,,ANCHORED_ONLY,Assigned within frozen search-cell quota; not row-level source-proven.
