SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,PhysicalAttackStatus,ActorClaim,AttributionStatus,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
50903,20240317,MAIN,INCLUDE_RUSSIA_PROPER,2024-03-17,RUSSIA_PROPER,Slavyansk-EKO refinery Slavyansk-on-Kuban Krasnodar Krai,TGT_RU_SLAVYANSK_EKO_REFINERY,NODE_RU_SLAVYANSK_EKO_REFINERY,REFINING_PETROCHEM_GAS,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_SBU_SOF_UAS_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,VIINA geocode points to Sloviansk Ukraine but source explicitly identifies Slavyansk-on-Kuban refinery in Krasnodar Krai; fire at refinery reported and Russian reports acknowledged drone attack,FALSE
58835,20240418,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-04-17,CRIMEA_SEVASTOPOL,Dzhankoi military airbase,,,,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_ATTACK_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Article is follow-up and forecast after the Dzhankoi airbase strike; physical event is in occupied Crimea and expected future Crimean Bridge strikes are not realized events,FALSE
59542,20240818,PARENT,SPLIT_REQUIRED,,MIXED,Weekly roundup of Russia airfields Rostov oil facility Crimea and unrelated fires,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,Roundup contains multiple independent physical events and non-events; split before counting,FALSE
59542,20240818,RU1,INCLUDE_RUSSIA_PROPER,2024-08-14,RUSSIA_PROPER,Khalino military airfield Kursk Oblast,TGT_RU_KHALINO_AIRBASE,NODE_RU_KHALINO_AIRBASE,MILITARY_AIR,ATTACK_REPORTED,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Ukrainian General Staff reported four Russian military airfields struck in one coordinated operation including Khalino; target-level effects require later evidence reconciliation,FALSE
59542,20240818,RU2,INCLUDE_RUSSIA_PROPER,2024-08-14,RUSSIA_PROPER,Savasleyka military airbase Nizhny Novgorod Oblast,TGT_RU_SAVASLEYKA_AIRBASE,NODE_RU_SAVASLEYKA_AIRBASE,MILITARY_AIR,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff reported strike; fire was observed at airbase and later reporting identified destruction of a fuel depot and at least one aircraft,FALSE
59542,20240818,RU3,INCLUDE_RUSSIA_PROPER,2024-08-14,RUSSIA_PROPER,Borisoglebsk military airfield Voronezh Oblast,TGT_RU_BORISOGLEBSK_AIRBASE,NODE_RU_BORISOGLEBSK_AIRBASE,MILITARY_AIR,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff reported coordinated strike and follow-up reporting described a hit in the north-western part of the airfield,FALSE
59542,20240818,RU4,INCLUDE_RUSSIA_PROPER,2024-08-14,RUSSIA_PROPER,Baltimore military airfield Voronezh,TGT_RU_BALTIMORE_AIRBASE,NODE_RU_BALTIMORE_AIRBASE,MILITARY_AIR,ATTACK_REPORTED,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff listed Baltimore among four airfields struck; specific physical effect remains to be independently reconciled,FALSE
59542,20240818,RU5,INCLUDE_RUSSIA_PROPER,2024-08-18,RUSSIA_PROPER,Kavkaz oil-products combine Proletarsk Rostov Oblast,TGT_RU_PROLETARSK_KAVKAZ_OIL_COMBINE,NODE_RU_PROLETARSK_KAVKAZ_OIL_COMBINE,FUEL_STORAGE_TERMINAL,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff reported strike on Kombinat Kavkaz with at least two fire seats at oil-products storage facility,FALSE
59542,20240818,X1,EXCLUDE_ATTEMPT_NO_CONFIRMED_TARGET_HIT,2024-08-12,RUSSIA_PROPER,Chkalovsky military airfield area Moscow Oblast,,,,ATTEMPT_INTERCEPT_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_APPLICABLE,NOT_SCORING_EVENT,Drones were reportedly intercepted near the airfield but source does not establish a physical hit on the target,FALSE
59542,20240818,X2,EXCLUDE_CAUSE_NOT_ESTABLISHED,2024-08-15,RUSSIA_PROPER,Former Ukhtomsky factory Lyubertsy Moscow Oblast,,,,FIRE_CONFIRMED,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_SCORING_EVENT,Large fire reported but no attack cause established in the source,FALSE
