CandidateRecordID,DiscoveryYear,SourceID,SourceDependenceGroup,SourceRecordID,SourceURL,SourcePublishedAt,FirstPublicSignalAt,EventStart,EventEnd,CanonicalEventDate,ActorClaim,AttackMethod,LocationText,CountryScope,Region,Latitude,Longitude,TargetName,TargetID,NodeID,ProvisionalTargetGroupID,TargetClass,Sector,CriticalityStatus,PhysicalAttackStatus,OperationalDisruptionStatus,DisruptionStart,DisruptionDurationHours,IndependentConfirmationStatus,ConfirmationSourceID,InclusionStatus,ExclusionReason,SplitStatus,ParentCandidateRecordID,RelatedEventID,DedupeKeyDate,DedupeKeyLocation,DedupeKeyTarget,DedupeKeyNode,DedupeClusterID,DedupeDecision,CanonicalCandidateRecordID,ConflictStatus,OutcomeRelevantUnresolved,ReviewStatus,ReviewedAt,Reviewer,EvidenceQuoteOrNote,EvidenceArchivePath,CandidateCensusComplete
R22C-001,2022,REUTERS,DG_REUTERS,R22-REU-20220402-BELGOROD-AMMO-MAR30,https://www.euronews.com/2022/04/02/us-ukraine-crisis-russia-belgorod-strike,2022-04-02,2022-03-30,2022-03-30,2022-03-30,2022-03-30,UNRESOLVED,UNRESOLVED,Belgorod region,RUSSIA_PROPER,Belgorod,,,Unnamed ammunition depot near Belgorod,,,,PG_RU_BELGOROD_AMMO_20220330,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,UNCERTAIN,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,,UNRESOLVED,,SPLIT_COMPONENT_TARGET_ID_UNRESOLVED,,,2022-03-30,Belgorod region,Unnamed ammunition depot,,R22D-001,NOT_ASSESSABLE_UNRESOLVED_TARGET,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Reuters retrospective records ammunition-depot fire; cause was still under investigation.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv|output/REUTERS_2022_DEEP_SEARCH_LOG_V1.csv,FALSE
R22C-002,2022,REUTERS,DG_REUTERS,R22-REU-20220622-NOVOSHAKHTINSK,https://www.yahoo.com/news/fire-breaks-russias-novoshakhtinsk-oil-073611337.html,2022-06-22,2022-06-22,2022-06-22,2022-06-22,2022-06-22,"Drones flew from direction of Ukraine; Ukrainian operator not independently established",DRONE,Novoshakhtinsk Rostov region,RUSSIA_PROPER,Rostov,,,Novoshakhtinsk oil refinery,TGT_RU_NOVOSHAKHTINSK_REFINERY,NODE_RU_NOVOSHAKHTINSK_REFINERY,,REFINERY,REFINING_PETROCHEM_GAS,TRUE,CONFIRMED,CONFIRMED_GT24H,2022-06-22,,CONFIRMED_INDEPENDENT,REFINERY_OPERATOR,UNRESOLVED,,NOT_APPLICABLE,,,2022-06-22,Novoshakhtinsk,Novoshakhtinsk oil refinery,NODE_RU_NOVOSHAKHTINSK_REFINERY,R22D-002,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Refinery itself reported two drone impacts and production suspension; direction of flight does not prove Ukrainian operator.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv|output/REUTERS_2022_DEEP_SEARCH_LOG_V1.csv,FALSE
R22C-003,2022,REUTERS,DG_REUTERS,R22-REU-20220401-BELGOROD,https://www.yahoo.com/news/ukraine-strikes-fuel-depot-russias-044900762.html,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,"Russia attributed strike to Ukrainian helicopters; Kyiv denied responsibility",HELICOPTER_MISSILE,Belgorod,RUSSIA_PROPER,Belgorod,,,Belgorod oil depot,TGT_RU_BELGOROD_OIL_DEPOT_20220401,NODE_RU_BELGOROD_OIL_DEPOT_20220401,,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,CONTRADICTED,RU_OFFICIAL_UA_DENIAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,VIINA_147220-RU1,2022-04-01,Belgorod,Belgorod oil depot,NODE_RU_BELGOROD_OIL_DEPOT_20220401,R22D-003,UNIQUE,,ACTOR_CONFLICT,FALSE,COMPLETE,2026-08-19,OpenAI,"Physical event independently visible/located; attribution disputed. Matches VIINA 147220-RU1.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv|output/VIINA_2022_RUSSIA_PRIORITY_MANUAL_REVIEW_V2.csv,FALSE
R22C-004,2022,REUTERS,DG_REUTERS,R22-REU-20220425-BRYANSK,https://www.euronews.com/2022/04/25/us-russia-fire-oilstorage,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,UNRESOLVED,UNRESOLVED,Bryansk,RUSSIA_PROPER,Bryansk,,,Transneft oil storage facility,TGT_RU_BRYANSK_TRANSNEFT_STORAGE,NODE_RU_BRYANSK_TRANSNEFT_STORAGE,,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,TRUE,CONFIRMED,NOT_ASSESSED,,,CONFIRMED_INDEPENDENT,RU_OPERATOR,UNRESOLVED,,NOT_APPLICABLE,,,2022-04-25,Bryansk,Transneft oil storage facility,NODE_RU_BRYANSK_TRANSNEFT_STORAGE,R22D-004,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Large fire established but cause/Ukraine connection not established at publication.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-005,2022,REUTERS,DG_REUTERS,R22-REU-20220427-STARAYA-NELIDOVKA,https://www.boursorama.com/bourse/actualites/des-explosions-entendues-dans-la-ville-russe-de-belgorod-gouverneur-4cd00844f20dc43e1a22ee77bce78352,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,UNRESOLVED,UNRESOLVED,Staraya Nelidovka Belgorod region,RUSSIA_PROPER,Belgorod,,,Ammunition depot,TGT_RU_STARAYA_NELIDOVKA_AMMO,NODE_RU_STARAYA_NELIDOVKA_AMMO,,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,NOT_APPLICABLE,,,2022-04-27,Staraya Nelidovka,Ammunition depot,NODE_RU_STARAYA_NELIDOVKA_AMMO,R22D-005,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Depot fire/blasts confirmed by governor; Ukrainian responsibility not established.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-006,2022,REUTERS,DG_REUTERS,R22-REU-20220818-TIMONOVO,https://www.yahoo.com/news/russian-villagers-evacuate-ammunition-fire-181326072.html,2022-08-18,2022-08-18,2022-08-18,2022-08-18,2022-08-18,UNRESOLVED,UNRESOLVED,Timonovo/Soloti Belgorod region,RUSSIA_PROPER,Belgorod,,,Ammunition storage depot,TGT_RU_TIMONOVO_SOLOTI_AMMO,NODE_RU_TIMONOVO_SOLOTI_AMMO,,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,NOT_APPLICABLE,,,2022-08-18,Timonovo/Soloti,Ammunition storage depot,NODE_RU_TIMONOVO_SOLOTI_AMMO,R22D-006,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Depot fire and evacuation established; cause remained under investigation.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-007,2022,REUTERS,DG_REUTERS,R22-REU-20220916-VALUYKI,https://www.sbs.com.au/news/article/un-plans-to-send-team-to-ukraines-izyum-after-reports-of-mass-grave/5uditdesj,2022-09-16,2022-09-16,2022-09-16,2022-09-16,2022-09-16,"Belgorod governor attributed shelling to Ukraine",ARTILLERY_SHELLING,Valuyki Belgorod region,RUSSIA_PROPER,Belgorod,,,Valuyki electricity substation,TGT_RU_VALUYKI_SUBSTATION,NODE_RU_VALUYKI_SUBSTATION,,GRID_SUBSTATION,ENERGY_GRID_SUPPORT,TRUE,CONFIRMED,CONFIRMED_GT24H,2022-09-16,,SINGLE_SOURCE,RU_REGIONAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-09-16,Valuyki,Electricity substation,NODE_RU_VALUYKI_SUBSTATION,R22D-007,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Governor said Ukrainian shelling disabled substation; Reuters could not independently verify.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-008,2022,REUTERS,DG_REUTERS,R22-REU-20221130-SURAZH,https://www.yahoo.com/news/fire-oil-storage-tank-russias-044439008.html,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,UNRESOLVED,UNRESOLVED,Surazh district Bryansk region,RUSSIA_PROPER,Bryansk,,,Oil storage tank,,,,PG_RU_SURAZH_OIL_STORAGE_20221130,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,UNCERTAIN,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,SPLIT_COMPONENT_TARGET_ID_UNRESOLVED,,,2022-11-30,Surazh district,Oil storage tank,,R22D-008,NOT_ASSESSABLE_UNRESOLVED_TARGET,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Large storage-tank fire confirmed; cause and exact facility identity not provided.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-009,2022,REUTERS,DG_REUTERS,R22-REU-20221015-BELGOROD-OIL-DEPOT,https://www.anews.com.tr/world/2022/10/15/russian-fuel-depot-catches-fire-in-region-bordering-ukraine,2022-10-15,2022-10-15,2022-10-15,2022-10-15,2022-10-15,"Governor reported shelling but did not identify origin",ARTILLERY_SHELLING,Belgorod district,RUSSIA_PROPER,Belgorod,,,Oil/fuel depot,,,,PG_RU_BELGOROD_OIL_DEPOT_20221015,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,UNCERTAIN,CONFIRMED,CONFIRMED_NO_OUTAGE,,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,SPLIT_COMPONENT_TARGET_ID_UNRESOLVED,,,2022-10-15,Belgorod district,Oil/fuel depot,,R22D-009,NOT_ASSESSABLE_UNRESOLVED_TARGET,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"One tank burned after shelling; origin of shelling and exact facility identity unresolved.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-010,2022,REUTERS,DG_REUTERS,R22-REU-20221014-BELGOROD-AMMO,https://www.investing.com/news/world-news/russia-says-there-were-deaths-in-alleged-ukrainian-shelling-of-border-region-2912208,2022-10-14,2022-10-13,2022-10-13,2022-10-13,2022-10-13,"Russian investigators said shells were fired from Ukraine",ARTILLERY_SHELLING,Belgorod district,RUSSIA_PROPER,Belgorod,,,Ammunition depot,,,,PG_RU_BELGOROD_AMMO_20221013,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_OFFICIAL,INCLUDE_RUSSIA_PROPER,,SPLIT_COMPONENT_TARGET_ID_UNRESOLVED,,,2022-10-13,Belgorod district,Ammunition depot,,R22D-010,NOT_ASSESSABLE_UNRESOLVED_TARGET,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"Ammunition depot destruction and Ukrainian-origin shelling reported by Russian investigators; exact node not named.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
