ResidualID,ResidualType,RecordID,SearchCell,FrozenSearchLogEvidence,RawHitsEvidence,ReconciliationEvidence,LaterFrozenEvidence,StrongestAllowedAssignment,TransformationClass,AssignmentStrength,Decidability,BridgeEffect,Reason
SRC-01,SOURCE_IDENTITY,R25S-Q2-R4-06,Q2-R4,"Search log fixes 7 retained named Reuters-direct R4 components; anchor: Reuters 2025-04-30 Murom plus Apr/May defence-industry strike coverage.","No Q2-R4 row-level ReutersHitID exists in REUTERS_2025_DEEP_RAW_HITS_V1.csv.","Only five Q2-R4 R25R identities are recoverable: Murom, Alabuga, Kazan aviation-related plant, Kronstadt Dubna, Raduga Dubna.","Provisional/open/final resolution files resolve those five but do not name two additional Q2-R4 source components.","One of two retained Q2-R4 Reuters-direct components whose target identity is lost in frozen row-level artifacts.",UNDECIDABLE,LOW,UNDECIDABLE,OPEN,"Cell count proves existence but neither target/date nor transformation path can be recovered without inventing identity."
SRC-02,SOURCE_IDENTITY,R25S-Q2-R4-07,Q2-R4,"Search log fixes 7 retained named Reuters-direct R4 components; anchor: Reuters 2025-04-30 Murom plus Apr/May defence-industry strike coverage.","No Q2-R4 row-level ReutersHitID exists in REUTERS_2025_DEEP_RAW_HITS_V1.csv.","Only five Q2-R4 R25R identities are recoverable: Murom, Alabuga, Kazan aviation-related plant, Kronstadt Dubna, Raduga Dubna.","Provisional/open/final resolution files resolve those five but do not name two additional Q2-R4 source components.","One of two retained Q2-R4 Reuters-direct components whose target identity is lost in frozen row-level artifacts.",UNDECIDABLE,LOW,UNDECIDABLE,OPEN,"Same irreducible two-component identity deficit as SRC-01."
SRC-03,SOURCE_IDENTITY,R25S-Q3-R1-19,Q3-R1,"Search log fixes 22 retained Reuters-direct refinery/processing components.","Nine Q3-R1 row-level ReutersHitIDs are preserved; repeated later waves are not individually represented by ReutersHitID.","Q3-R1 reconciliation contains 24 rows; R25R-0098 is merged duplicate of R25R-0056 and R25R-0099 resolves to the already represented Afipsky 28-Aug event, leaving 22 distinct source-level components.","Final disposition files establish distinct/corrected waves including Ryazan 05-Sep, Saratov 16-Sep, Saratov 20-Sep, Afipsky 26-Sep and exclusions without deleting source provenance.","Member of the four residual stable slots required to complete the 22-component Q3-R1 bijection; individual ordinal-to-event identity is not historically preserved.",Korrektur,MODERATE,SET_LEVEL_ONLY,OPEN,"The 22-event set is recoverable, but assigning a particular one of the remaining events to ordinal -19 rather than -20/-21/-22 would be a new convention, not frozen evidence."
SRC-04,SOURCE_IDENTITY,R25S-Q3-R1-20,Q3-R1,"Search log fixes 22 retained Reuters-direct refinery/processing components.","Nine Q3-R1 row-level ReutersHitIDs are preserved; repeated later waves are not individually represented by ReutersHitID.","After removing the two documented duplicate/correction representations R25R-0098 and R25R-0099, the Q3-R1 reconciliation balances to 22 distinct components.","V4 register and final dispositions confirm/correct multiple later Q3 refinery waves.","Member of the same four residual Q3-R1 stable slots; set identity is recoverable but this ordinal is not.",Korrektur,MODERATE,SET_LEVEL_ONLY,OPEN,"No frozen artifact preserves the original ordering of the four residual source identities."
SRC-05,SOURCE_IDENTITY,R25S-Q3-R1-21,Q3-R1,"Search log fixes 22 retained Reuters-direct refinery/processing components.","Nine Q3-R1 row-level ReutersHitIDs are preserved.","The reconciliation plus documented duplicate merges yields a 22-component event set.","Final resolution artifacts establish the later repeat/corrected events needed to balance the set.","Member of the same four residual Q3-R1 stable slots; set identity is recoverable but this ordinal is not.",Korrektur,MODERATE,SET_LEVEL_ONLY,OPEN,"Stable ordinal identity cannot be proven."
SRC-06,SOURCE_IDENTITY,R25S-Q3-R1-22,Q3-R1,"Search log fixes 22 retained Reuters-direct refinery/processing components.","Nine Q3-R1 row-level ReutersHitIDs are preserved.","The reconciliation plus documented duplicate merges yields a 22-component event set.","Final resolution artifacts establish the later repeat/corrected events needed to balance the set.","Member of the same four residual Q3-R1 stable slots; set identity is recoverable but this ordinal is not.",Korrektur,MODERATE,SET_LEVEL_ONLY,OPEN,"Stable ordinal identity cannot be proven."
SRC-07,SOURCE_IDENTITY,R25S-Q3-R3-04,Q3-R3,"Search log fixes 4 Reuters-direct pipeline components; OSC-derived September pipeline items are explicitly separate.","R25-0016 preserves Unecha 21-Aug as a direct ReutersHitID.","The four non-OSC Q3-R3 R25R components are Unecha 13-Aug (R25R-0037), Nikolskoye 18-Aug, Unecha 21-Aug and Naytopovichi 07-Sep.","Dependency audit keeps the five OSC graphic records outside DG_REUTERS.","Unecha Druzhba pumping station, 2025-08-13, R25R-0037.","1:1",HIGH,DECIDABLE,CLOSED,"The other three direct Q3-R3 identities are already represented and the four-item cell count uniquely leaves the 13-Aug Unecha repeat for the fourth source slot."
SRC-08,SOURCE_IDENTITY,R25S-Q3-R6-02,Q3-R6,"Search-log anchor explicitly names Sergiyev Posad / Kursk NPP / Belgorod as the three Q3-R6 components.","No Q3-R6 ReutersHitID is preserved in the early raw-hits file.","R25R reconciliation contains a Belgorod/Luch row but omitted a dedicated Sergiyev Posad row.","REUTERS_2025_PROVENANCE_LINKAGE_5_V1 explicitly recovers Sergiyev Posad 04-Jul from frozen Q3-R6; V4 register includes it as confirmed.","Sergiyev Posad electricity substation, 2025-07-04; deterministic assignment to one of the two residual Q3-R6 slots.",Korrektur,HIGH,IDENTITY_DECIDABLE_ORDINAL_NOT_PROVEN,OPEN,"Target identity is proven, but frozen artifacts do not preserve whether it was cell ordinal 02 or 03."
SRC-09,SOURCE_IDENTITY,R25S-Q3-R6-03,Q3-R6,"Search-log anchor explicitly names Sergiyev Posad / Kursk NPP / Belgorod as the three Q3-R6 components.","No row-level ReutersHitID preserved.","No dedicated Kursk NPP R25R row is present despite the search-log statement that all named components were transferred.","No later frozen Reuters resolution/provenance file supplies the missing Kursk NPP R25R transfer.","Kursk NPP component; source identity is recoverable from the search-log anchor, but its ledger transformation is not.",UNDECIDABLE,MODERATE,PARTLY_DECIDABLE,OPEN,"Identity is named, but whether it should be 1:1, Non-Candidate, or a lost reconciliation row cannot be proven from frozen artifacts."
SRC-10,SOURCE_IDENTITY,R25S-Q4-R7-02,Q4-R7,"Search log fixes 5 Q4-R7 components and states: Belgorod dam plus tanker/submarine reports; non-census mobile assets excluded.","No Q4-R7 row-level ReutersHitID is preserved.","Only the Belgorod reservoir dam has a dedicated R25R row; no tanker/submarine R25R identities are preserved.","No later frozen register adds the mobile assets; the search log itself records their non-census exclusion.","One of four unnamed tanker/submarine mobile-asset components; definitely Non-Candidate for DEEP census, exact identity lost.",Non-Candidate,HIGH_CLASS_LOW_IDENTITY,CLASS_DECIDABLE_IDENTITY_UNDECIDABLE,OPEN,"Exclusion class is proven, but the named mobile asset cannot be reconstructed."
