SourceEventID,ComponentID,VIINADate,ManualDecision,CanonicalEventDate,CountryScope,TargetName,TargetID,NodeID,TargetClass,SplitStatus,AttributionStatus,RelatedEventID,DecisionReason,EvidenceStatus,CandidateCensusComplete
53220,,20220621,EXCLUDE_WRONG_YEAR,20240621,RUSSIA_PROPER,"Ilsky refinery / Yeysk composite",,,,NOT_APPLICABLE,UKRAINIAN_ATTRIBUTION_REPORTED,,"The linked NV article is explicitly about the 21 June 2024 drone attack on Ilsky refinery/Yeysk and was misdated into VIINA 2022. It cannot enter the 2022 census.",SOURCE_DATE_CONFLICT_RESOLVED,FALSE
53749,,20220810,EXCLUDE_CRIMEA_SCOPE,20220809,CRIMEA_SEVASTOPOL,Saky/Novofedorivka airbase,,,STRATEGIC_AIRBASE,NOT_APPLICABLE,UKRAINIAN_ATTRIBUTION_UNRESOLVED,,"The report concerns explosions at the Saky airbase in occupied Crimea. Phrase 'у Росії' refers to Russian denials/public reaction and does not locate the target in Russia proper.",SCOPE_RESOLVED,FALSE
53986,,20220817,EXCLUDE_NOT_EVENT,20220817,CRIMEA_SEVASTOPOL,Russian aircraft relocation after Crimea explosions,,,STRATEGIC_AIRBASE,NOT_APPLICABLE,NOT_APPLICABLE,,"Follow-up intelligence report says Russia moved aircraft from occupied Crimea to the Russian Federation after earlier explosions. It reports relocation, not a fresh physical attack on a Russia-proper target.",EVENT_GATE_FAIL,FALSE
147220,SOURCE,20220401,SPLIT_REQUIRED,20220401,MIXED,"Fastiv oil depot / Belgorod oil depot",,,,SPLIT_REQUIRED,CONFLICTING_COMPONENT_ATTRIBUTION,,"Composite VIINA row merges a Russian strike on an oil depot in Fastiv, Kyiv Oblast, with a Russian-source day chronology that includes the reported Ukrainian strike on an oil depot in Belgorod. Parent row must not be counted.",COMPOSITE_RESOLVED_TO_COMPONENTS,FALSE
147220,147220-UA1,20220401,EXCLUDE_OUTSIDE_RUSSIA_PROPER,20220401,UKRAINE_OCCUPIED_OTHER,Fastiv oil depot,"TGT_UA_FASTIV_OIL_DEPOT_20220401","NODE_UA_FASTIV_OIL_DEPOT_20220401",FUEL_STORAGE_TERMINAL,SPLIT_COMPONENT_RESOLVED,RUSSIAN_ATTACK_REPORTED,147220,"Physical target is in Fastiv, Kyiv Oblast, Ukraine; outside Russia-proper census.",TARGET_LOCATION_RESOLVED,FALSE
147220,147220-RU1,20220401,INCLUDE_RUSSIA_PROPER,20220401,RUSSIA_PROPER,Belgorod oil depot,"TGT_RU_BELGOROD_OIL_DEPOT_20220401","NODE_RU_BELGOROD_OIL_DEPOT_20220401",FUEL_STORAGE_TERMINAL,SPLIT_COMPONENT_RESOLVED,UKRAINIAN_ATTRIBUTION_CLAIMED_NOT_CONFIRMED,147220,"The Russian chronology component reports a strike on an oil depot in Belgorod. Russia alleged two Ukrainian helicopters carried it out; Ukraine did not confirm responsibility. The physical Russia-proper event is retained as a candidate with attribution uncertainty.",EVENT_AND_LOCATION_RESOLVED_ATTRIBUTION_UNCERTAIN,FALSE
254082,,20220414,EXCLUDE_OUTSIDE_RUSSIA_PROPER,20220414,UKRAINE_OCCUPIED_OTHER,Chornobaivka ammunition depots / cruiser Moskva mention,,,AMMUNITION_ARSENAL,NOT_APPLICABLE,UKRAINIAN_ATTACK_REPORTED,,"The physical land target described is Chornobaivka in Kherson Oblast. 'Moskva' is the name of the cruiser, not Moscow as a target location. No Russia-proper target is described.",SCOPE_RESOLVED_FALSE_POSITIVE_PLACE_NAME,FALSE
170419,,20220627,EXCLUDE_NOT_EVENT,20220627,UKRAINE_OCCUPIED_OTHER,Kremenchuk strike launched from Kursk Oblast,,,STRATEGIC_AIRBASE,NOT_APPLICABLE,RUSSIAN_ATTACK_REPORTED,,"Kursk Oblast is the reported launch area of Russian bombers that attacked Kremenchuk. The row does not describe a Ukrainian strike on a target in Kursk or elsewhere in Russia proper.",EVENT_GATE_FAIL_LAUNCH_LOCATION_ONLY,FALSE
151262,,20220910,EXCLUDE_NOT_EVENT,20220910,OTHER,Ramstein meeting / political analysis,,,STRATEGIC_AIRBASE,NOT_APPLICABLE,NOT_APPLICABLE,,"Article discusses the Ramstein meeting, Ukrainian campaign plans and negotiations involving Moscow/Kyiv. It contains no fresh physical Ukrainian attack on Russia proper.",EVENT_GATE_FAIL,FALSE
95172,,20221023,EXCLUDE_NOT_EVENT,20221023,UKRAINE_OCCUPIED_OTHER,Russian strikes on Ukrainian energy infrastructure,,,ENERGY_GRID_SUPPORT,NOT_APPLICABLE,RUSSIAN_ATTACK_REPORTED,,"The article describes Russian missile attacks on substations and power lines across Ukraine. Moscow appears only in political/negotiation context. No Ukrainian strike in Russia proper.",EVENT_GATE_FAIL,FALSE
153314,,20221130,EXCLUDE_NOT_EVENT,20221130,RUSSIA_PROPER,Prospective permission to attack Russian airfields,,,STRATEGIC_AIRBASE,NOT_APPLICABLE,NOT_APPLICABLE,,"Latvian foreign minister called for allowing Ukraine to strike military objects on Russian territory. This is a policy statement, not an already realized physical attack.",EVENT_GATE_FAIL_PROSPECTIVE,FALSE
