SourceEventID,VIINADate,ManualDecision,RussiaProperComponents,NonRussiaOrExcludedComponents,OutcomeRelevantUnresolved,CandidateCensusComplete,DecisionReason
63441,20240118,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Petersburg Oil Terminal/St Petersburg 2024-01-18 CENSUS_CANDIDATE_ONLY,Sevastopol ship component outside scope,FALSE,FALSE,Roundup split; Russia oil-terminal attack retained conservatively as census candidate while Crimea component excluded
63470,20240128,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Tuapse refinery/Krasnodar Krai 2024-01-25 CENSUS_CANDIDATE_ONLY,Moscow theatre and Chelyabinsk furniture fires non-attack; Sevastopol outside scope,FALSE,FALSE,Drone-linked refinery fire retained; unrelated fires and Crimea removed
63484,20240204,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Nevsky Mazut/St Petersburg 2024-01-31; Tambov rail relay sabotage 2024-01-30; Volgograd LUKOIL refinery 2024-02-03 all CENSUS_CANDIDATE_ONLY,Yaroslavl and Kaluga drone incidents without confirmed qualifying damage; Crimea/Donuzlav components outside scope,FALSE,FALSE,Full roundup inspected; only realized qualifying Russia-proper physical effects retained
58667,20240323,RESOLVED_EXCLUDE_NO_RUSSIA_COMPONENT,,Crimea ship/airfield explosions only,FALSE,FALSE,All components in occupied Crimea
63541,20240324,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Novokuibyshevsk Rosneft refinery/Samara Oblast 2024-03-23 CENSUS_CANDIDATE_ONLY,Engels 2024-03-20 attack report without confirmed qualifying target hit; Sevastopol outside scope,FALSE,FALSE,Refinery fire after drone strike retained; other components excluded from event count
58708,20240329,RESOLVED_EXCLUDE_NOT_EVENT,,Political statement about desired future ATACMS use against Crimea airfields,FALSE,FALSE,No realized attack event
63573,20240402,RESOLVED_EXCLUDE_CRIMEA_SCOPE,,Sevastopol electrical-substation sabotage claim,FALSE,FALSE,Physical event outside Russia-proper scope
82635,20240409,RESOLVED_EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,,High-voltage substations in Poltava and Lviv oblasts,FALSE,FALSE,Russian attack on Ukrainian energy infrastructure
232902,20240417,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Kazan/Tatarstan aviation-industry target attack 2024-04-17 CENSUS_CANDIDATE_ONLY,Dzhankoi airfield outside scope; individual Mi-8 in Samara outside current facility/node unit,FALSE,FALSE,Composite split by geography and frozen DEEP unit definition
232908,20240417,RESOLVED_EXCLUDE_NO_RUSSIA_COMPONENT,,Chasiv Yar commentary and Dzhankoi airfield strike,FALSE,FALSE,No Russia-proper qualifying target
63606,20240421,RESOLVED_SPLIT_RUSSIA_COMPONENTS,Kovylkino/Mordovia 29B6 Container radar complex attack 2024-04-17 CENSUS_CANDIDATE_ONLY,Sevastopol and Dzhankoi components outside scope,FALSE,FALSE,Mordovia strategic radar target retained conservatively as census candidate; Crimea excluded
