SourceComponentID,SourceRecordID,CanonicalEventDate,SearchFamily,SourceTargetOrCluster,CountryScope,TransformationClass,CandidateRowsPlanned,PrimaryCandidateKey,TransferStatus,OutcomeRelevantIssue
R22S-Q1-R4-01,R22-REU-20220402-BELGOROD-AMMO-MAR30,2022-03-30,R4_DEFENSE_INDUSTRY,Unnamed ammunition depot near Belgorod,RUSSIA_PROPER,1:1,1,CAND-R22-BELGOROD-AMMO-20220330,READY_FOR_LEDGER,"Cause/actor unresolved; target identity also generic."
R22S-Q2-R1-01,R22-REU-20220622-NOVOSHAKHTINSK,2022-06-22,R1_ENERGY_REFINING,Novoshakhtinsk oil refinery,RUSSIA_PROPER,1:1,1,CAND-R22-NOVOSHAKHTINSK-20220622,READY_FOR_LEDGER,"Physical effect clear; Ukrainian actor attribution not independently settled."
R22S-Q2-R2-01,R22-REU-20220401-BELGOROD,2022-04-01,R2_ENERGY_STORAGE_EXPORT,Belgorod fuel/oil depot,RUSSIA_PROPER,1:1,1,CAND-R22-BELGOROD-FUEL-20220401,READY_FOR_LEDGER,"Actor conflict: Russia attributed Ukraine; Ukraine denied responsibility."
R22S-Q2-R2-02,R22-REU-20220425-BRYANSK,2022-04-25,R2_ENERGY_STORAGE_EXPORT,Transneft oil storage facility,RUSSIA_PROPER,1:1,1,CAND-R22-BRYANSK-TRANSNEFT-20220425,READY_FOR_LEDGER,"Cause/actor unresolved."
R22S-Q2-R4-01,R22-REU-20220427-STARAYA-NELIDOVKA,2022-04-27,R4_DEFENSE_INDUSTRY,Ammunition depot,RUSSIA_PROPER,1:1,1,CAND-R22-STARAYA-NELIDOVKA-20220427,READY_FOR_LEDGER,"Actor attribution unresolved."
R22S-Q3-R4-01,R22-REU-20220818-TIMONOVO,2022-08-18,R4_DEFENSE_INDUSTRY,Ammunition storage depot,RUSSIA_PROPER,1:1,1,CAND-R22-TIMONOVO-20220818,READY_FOR_LEDGER,"Cause/actor unresolved."
R22S-Q3-R4-02,R22-REU-20220817-DZHANKOI,2022-08-16,R4_DEFENSE_INDUSTRY,Dzhankoi ammunition depot and connected infrastructure,CRIMEA_SEVASTOPOL,SPLIT,3,CAND-R22-DZHANKOI-20220816,READY_FOR_LEDGER,"Audit-only: split into ammunition depot, electricity substation and railway-infrastructure candidate rows; all excluded from Russia-proper census."
R22S-Q3-R5-01,R22-REU-20220811-SAKI,2022-08-09,R5_STRATEGIC_AIR,Saki military air base,CRIMEA_SEVASTOPOL,1:1,1,CAND-R22-SAKI-20220809,READY_FOR_LEDGER,"Audit-only outside Russia-proper census; actor/method attribution disputed."
R22S-Q3-R6-01,R22-REU-20220916-VALUYKI,2022-09-16,R6_GRID_SUPPORT,Valuyki electricity substation,RUSSIA_PROPER,1:1,1,CAND-R22-VALUYKI-20220916,READY_FOR_LEDGER,"Russian attribution to Ukrainian shelling; Reuters could not independently verify."
R22S-Q4-R2-01,R22-REU-20221130-SURAZH,2022-11-30,R2_ENERGY_STORAGE_EXPORT,Surazh oil storage tank,RUSSIA_PROPER,1:1,1,CAND-R22-SURAZH-20221130,READY_FOR_LEDGER,"Cause/actor unresolved."
R22S-Q4-R2-02,R22-REU-20221015-BELGOROD-OIL-DEPOT,2022-10-15,R2_ENERGY_STORAGE_EXPORT,Belgorod oil/fuel depot,RUSSIA_PROPER,1:1,1,CAND-R22-BELGOROD-OIL-20221015,READY_FOR_LEDGER,"Physical effect clear; origin of shelling unresolved."
R22S-Q4-R4-01,R22-REU-20221014-BELGOROD-AMMO,2022-10-13,R4_DEFENSE_INDUSTRY,Belgorod ammunition depot,RUSSIA_PROPER,1:1,1,CAND-R22-BELGOROD-AMMO-20221013,READY_FOR_LEDGER,"Exact facility identity/NodeID unresolved; Russian official attribution to Ukraine."
R22S-Q4-R5-01,R22-REU-20221205-ENGELS,2022-12-05,R5_STRATEGIC_AIR,Engels strategic bomber air base,RUSSIA_PROPER,1:1,1,CAND-R22-ENGELS-20221205,READY_FOR_LEDGER,"Russian attribution to Ukrainian drone; physical aircraft damage reported."
R22S-Q4-R5-02,R22-REU-20221205-DYAGILEVO,2022-12-05,R5_STRATEGIC_AIR,Dyagilevo military air base,RUSSIA_PROPER,1:1,1,CAND-R22-DYAGILEVO-20221205,READY_FOR_LEDGER,"Russian attribution to Ukrainian drone; casualties and aircraft damage reported."
R22S-Q4-R5-03,R22-REU-20221206-KURSK,2022-12-06,R5_STRATEGIC_AIR,Kursk airfield oil-storage tank,RUSSIA_PROPER,1:1,1,CAND-R22-KURSK-AIRFIELD-20221206,READY_FOR_LEDGER,"Physical effect clear; actor not explicitly assigned by governor."
R22S-Q4-R5-04,R22-REU-20221226-ENGELS,2022-12-26,R5_STRATEGIC_AIR,Engels strategic bomber air base,RUSSIA_PROPER,FOLLOW_UP_DISTINCT_WAVE,1,CAND-R22-ENGELS-20221226,READY_FOR_LEDGER,"Distinct repeat wave; qualifying fixed-target damage unresolved because Russia reported no aircraft damage."
R22S-Q4-R6-01,R22-REU-20221012-SHEBEKINO,2022-10-11,R6_GRID_SUPPORT,Shebekino electricity substation,RUSSIA_PROPER,1:1,1,CAND-R22-SHEBEKINO-20221011,READY_FOR_LEDGER,"Russian attribution to Ukrainian shelling; target effect/outage clear."
