ResidualID,ResidualType,RecordID,SearchCell,FinalStatus,StrongestAllowedAssignment,TransformationClass,MissingEvidence,FormalReason
SRC-01,SOURCE_IDENTITY,R25S-Q2-R4-06,Q2-R4,FORMALLY_UNDECIDABLE,"One of two retained Q2-R4 Reuters-direct defence-industry components whose exact target/date identity is lost.",UNDECIDABLE,"Missing row-level ReutersHitID, target/date identity, source URL/article identity, and any frozen later artifact naming the sixth Q2-R4 component.","Frozen search log proves seven retained components but only five identities are recoverable; assigning either missing identity would be invented."
SRC-02,SOURCE_IDENTITY,R25S-Q2-R4-07,Q2-R4,FORMALLY_UNDECIDABLE,"One of two retained Q2-R4 Reuters-direct defence-industry components whose exact target/date identity is lost.",UNDECIDABLE,"Missing row-level ReutersHitID, target/date identity, source URL/article identity, and any frozen later artifact naming the seventh Q2-R4 component.","Same irreducible two-component identity deficit as SRC-01; no frozen evidence distinguishes the two missing source identities."
SRC-03,SOURCE_IDENTITY,R25S-Q3-R1-19,Q3-R1,FORMALLY_UNDECIDABLE,"Member of the residual four-source set needed to balance the 22 retained Q3-R1 components.",Korrektur,"Missing frozen mapping from this specific stable ordinal to one event among the residual Q3-R1 event set; no original component ordering survives.","The 22-component set balances after documented duplicate/correction handling, but this ordinal-to-event assignment cannot be proven."
SRC-04,SOURCE_IDENTITY,R25S-Q3-R1-20,Q3-R1,FORMALLY_UNDECIDABLE,"Member of the residual four-source set needed to balance the 22 retained Q3-R1 components.",Korrektur,"Missing original source-component ordinal/order and row-level ReutersHitID for this slot.","Set-level closure is insufficient for stable row-level provenance."
SRC-05,SOURCE_IDENTITY,R25S-Q3-R1-21,Q3-R1,FORMALLY_UNDECIDABLE,"Member of the residual four-source set needed to balance the 22 retained Q3-R1 components.",Korrektur,"Missing original source-component ordinal/order and row-level ReutersHitID for this slot.","No frozen artifact proves which residual Q3-R1 event occupied ordinal 21."
SRC-06,SOURCE_IDENTITY,R25S-Q3-R1-22,Q3-R1,FORMALLY_UNDECIDABLE,"Member of the residual four-source set needed to balance the 22 retained Q3-R1 components.",Korrektur,"Missing original source-component ordinal/order and row-level ReutersHitID for this slot.","No frozen artifact proves which residual Q3-R1 event occupied ordinal 22."
SRC-07,SOURCE_IDENTITY,R25S-Q3-R3-04,Q3-R3,CLOSED,"Unecha Druzhba pumping station, 2025-08-13, linked to R25R-0037.","1:1",,"Four non-OSC Q3-R3 direct components are uniquely recoverable; the only remaining identity after the three already represented components is Unecha 13-Aug."
SRC-08,SOURCE_IDENTITY,R25S-Q3-R6-02,Q3-R6,FORMALLY_UNDECIDABLE,"Sergiyev Posad electricity substation, 2025-07-04 is proven as one of the two residual Q3-R6 identities.",Korrektur,"Missing frozen evidence proving whether Sergiyev Posad was stable ordinal Q3-R6-02 or Q3-R6-03; no row-level ReutersHitID or preserved original ordering.","Target identity is recoverable, but the stable source ID assignment is not."
SRC-09,SOURCE_IDENTITY,R25S-Q3-R6-03,Q3-R6,FORMALLY_UNDECIDABLE,"Kursk NPP is proven by the search-log anchor as the other residual Q3-R6 source identity.",UNDECIDABLE,"Missing dedicated R25R transfer, row-level ReutersHitID, disposition record, and evidence showing whether the component was candidate, non-candidate, or lost during reconciliation.","Source identity is named but its ledger transformation and stable ordinal cannot be formally established."
SRC-10,SOURCE_IDENTITY,R25S-Q4-R7-02,Q4-R7,FORMALLY_UNDECIDABLE,"One of four tanker/submarine mobile-asset reports; DEEP Non-Candidate class is proven.",Non-Candidate,"Missing exact mobile-asset identity, date, ReutersHitID/article identity, and preserved ordering among the four excluded mobile-asset components.","Class-level exclusion is certain, but stable source identity is not recoverable."
