CandidateRecordID,CanonicalEventDate,Target,PriorOutcomeRelevantUnresolved,FinalDecision,FinalOutcomeRelevantUnresolved,ResolutionClass,TargetIdentityResult,AttributionResult,KeyEvidence,Reason
R22C-001,2022-03-29,Krasny Oktyabr/Belgorod ammunition depot,TRUE,CLOSE,FALSE,DATE_TARGET_ATTRIBUTION_RESOLVED,"Krasny Oktyabr ammunition depot / temporary military cantonment near Belgorod; canonical date corrected from 2022-03-30 to 2022-03-29","Russian Investigative Committee later stated a Tochka-U missile was fired from Kharkiv region by Ukrainian military","https://tass.com/society/1434203","Contemporaneous Reuters initially left cause open, but later Russian investigative finding resolves event date/location and provides explicit Ukrainian attribution. Preserve SOURCE_DATE_CONFLICT note; no longer outcome-relevant unresolved under single-source official-attribution rule."
R22C-002,2022-06-22,Novoshakhtinsk oil refinery,TRUE,CLOSE,FALSE,ATTRIBUTION_RESOLVED,"Novoshakhtinsk refinery exact node already established","Refinery confirmed two drone impacts; Rostov governor said drones were preliminarily Ukrainian-made and reporting attributed attack to Ukraine","https://www.yahoo.com/news/fire-breaks-russias-novoshakhtinsk-oil-073611337.html|https://ria.ru/20220622/bespilotniki-1797348443.html","Physical effect and exact node are independently established; contemporaneous Russian official attribution is sufficient for candidate inclusion although Ukraine did not claim responsibility."
R22C-004,2022-04-25,Bryansk Transneft oil storage facility,TRUE,KEEP_OPEN,TRUE,ATTRIBUTION_UNRESOLVED,"Transneft-Druzhba oil-storage facility identity established","No reliable contemporaneous source establishes Ukrainian responsibility; Reuters explicitly said no immediate indication of Ukraine link","https://www.euronews.com/2022/04/25/us-russia-fire-oilstorage","Cause remains genuinely unresolved; cannot be counted as Ukrainian strike without inference."
R22C-005,2022-04-27,Staraya Nelidovka ammunition depot,TRUE,KEEP_OPEN,TRUE,ATTRIBUTION_UNRESOLVED,"Staraya Nelidovka ammunition depot exact location established","Governor confirmed depot fire but did not attribute cause; Ukrainian adviser used ambiguous 'karma/divine intervention' language without claiming operation","https://timesofindia.indiatimes.com/world/europe/blasts-heard-in-russias-belgorod-nearby-ammunition-depot-on-fire-governor/articleshow/91114134.cms|https://www.pravda.com.ua/eng/news/2022/04/27/7342386/","No admissible attribution beyond implication; retain unresolved."
R22C-006,2022-08-18,Timonovo/Soloti ammunition storage depot,TRUE,KEEP_OPEN,TRUE,ATTRIBUTION_UNRESOLVED,"Timonovo ammunition depot exact node/location established","Governor said cause was under investigation; Reuters could not verify video and no later reliable attribution found","https://www.yahoo.com/news/russian-villagers-evacuate-ammunition-fire-181326072.html","Physical event is certain but Ukrainian responsibility is not."
R22C-008,2022-11-30,Surazh Kombinat Slava Rosrezerv fuel storage,TRUE,KEEP_OPEN,TRUE,TARGET_RESOLVED_ATTRIBUTION_UNRESOLVED,"Facility identified as Kombinat Slava Rosrezerv in Surazh district","Emergency-service reporting said a munition was dropped from a drone, but reliable evidence does not identify the operator as Ukrainian","https://www.kommersant.ru/doc/5694486|https://fedpress.ru/news/32/incidents/3151274","Target/Node identity can be repaired, but actor remains outcome-relevant unresolved."
R22C-009,2022-10-15,Razumnoye-71 fuel/oil depot Belgorod district,TRUE,KEEP_OPEN,TRUE,TARGET_RESOLVED_ATTRIBUTION_UNRESOLVED,"Depot localized to Razumnoye-71; one diesel-residue tank burned","Governor reported shelling but explicitly did not specify origin; Kyiv made no immediate comment","https://www.anews.com.tr/world/2022/10/15/russian-fuel-depot-catches-fire-in-region-bordering-ukraine|https://www.rferl.org/a/russia-ukraine-belgorod-air-strikes/32084377.html","Node can be resolved, actor cannot; keep C5 unresolved."
R22C-010,2022-10-13,Oktyabrsky ammunition depot Belgorod district,TRUE,CLOSE,FALSE,TARGET_ATTRIBUTION_RESOLVED,"Depot localized to Oktyabrsky settlement, Belgorod district","Governor and Russian Investigative Committee explicitly attributed shelling to Ukrainian forces","https://www.rbc.ru/politics/13/10/2022/634848c29a79470937bc9f37|https://www.investing.com/news/world-news/russia-says-there-were-deaths-in-alleged-ukrainian-shelling-of-border-region-2912208","Exact settlement plus explicit official Ukrainian attribution removes outcome-relevant target/actor uncertainty."
R22C-013,2022-12-06,Kursk airfield oil-storage tank,TRUE,KEEP_OPEN,TRUE,ATTRIBUTION_UNRESOLVED,"Kursk airfield fuel-storage node established","Governor confirmed drone strike but did not identify attacker; Reuters noted Ukraine did not directly claim responsibility","https://economictimes.indiatimes.com/news/defence/drone-strikes-oil-tank-at-airfield-in-russias-kursk-region/articleshow/96027164.cms|https://www.thejakartapost.com/paper/2022/12/07/drone-attacks-oil-tank-at-airfield-inside-russia.html","Context strongly suggests Ukrainian operation but direct attribution remains insufficient under frozen rule."
R22C-016,2022-10-13,Popovo-Lezhachi transformer substation Kursk region,TRUE,CLOSE,FALSE,TARGET_ATTRIBUTION_RESOLVED,"Substation identified at Popovo-Lezhachi; transformer fire and outage in Popovo-Lezhachi and Tetkino","Governor reported about 15 arrivals from Ukrainian side","https://novayagazeta.eu/en/articles/2022/10/13/two-settlements-and-transformer-substation-shelled-in-russias-kursk-region-border-checkpoint-shelled-in-russias-belgorod-region-news|https://kelo.com/2022/10/13/russian-border-regions-say-ukraine-shelled-buildings-disrupted-power-supply/","Exact location/node and official Ukrainian-side attribution close the outcome-relevant uncertainty."
