CandidateRecordID,DiscoveryYear,SourceID,SourceDependenceGroup,SourceRecordID,SourceURL,SourcePublishedAt,FirstPublicSignalAt,EventStart,EventEnd,CanonicalEventDate,ActorClaim,AttackMethod,LocationText,CountryScope,Region,Latitude,Longitude,TargetName,TargetID,NodeID,ProvisionalTargetGroupID,TargetClass,Sector,CriticalityStatus,PhysicalAttackStatus,OperationalDisruptionStatus,DisruptionStart,DisruptionDurationHours,IndependentConfirmationStatus,ConfirmationSourceID,InclusionStatus,ExclusionReason,SplitStatus,ParentCandidateRecordID,RelatedEventID,DedupeKeyDate,DedupeKeyLocation,DedupeKeyTarget,DedupeKeyNode,DedupeClusterID,DedupeDecision,CanonicalCandidateRecordID,ConflictStatus,OutcomeRelevantUnresolved,ReviewStatus,ReviewedAt,Reviewer,EvidenceQuoteOrNote,EvidenceArchivePath,CandidateCensusComplete
R22C-001,2022,REUTERS,DG_REUTERS,R22-REU-20220402-BELGOROD-AMMO-MAR30,https://www.euronews.com/2022/04/02/us-ukraine-crisis-russia-belgorod-strike,2022-04-02,2022-03-29,2022-03-29,2022-03-29,2022-03-29,Russian Investigative Committee attributed Tochka-U launch from Kharkiv region to Ukrainian military,MISSILE_TOCHKA_U,Krasny Oktyabr / Belgorod region,RUSSIA_PROPER,Belgorod,,,Krasny Oktyabr ammunition depot,TGT_RU_KRASNY_OKTYABR_AMMO,NODE_RU_KRASNY_OKTYABR_AMMO,,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_INVESTIGATIVE_COMMITTEE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-03-29,Krasny Oktyabr,Ammunition depot,NODE_RU_KRASNY_OKTYABR_AMMO,R22D-001,UNIQUE,,SOURCE_DATE_CONFLICT,FALSE,COMPLETE,2026-08-19,OpenAI,"Post-C5 correction: date, target and Ukrainian attribution resolved; prior 30-Mar date superseded.",output/REUTERS_2022_C5_TARGETED_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-002,2022,REUTERS,DG_REUTERS,R22-REU-20220622-NOVOSHAKHTINSK,https://www.yahoo.com/news/fire-breaks-russias-novoshakhtinsk-oil-073611337.html,2022-06-22,2022-06-22,2022-06-22,2022-06-22,2022-06-22,Rostov governor/refinery reporting attributed drone attack to Ukrainian-origin/Ukraine-directed drones,DRONE,Novoshakhtinsk Rostov region,RUSSIA_PROPER,Rostov,,,Novoshakhtinsk oil refinery,TGT_RU_NOVOSHAKHTINSK_REFINERY,NODE_RU_NOVOSHAKHTINSK_REFINERY,,REFINERY,REFINING_PETROCHEM_GAS,TRUE,CONFIRMED,CONFIRMED_GT24H,2022-06-22,,CONFIRMED_INDEPENDENT,REFINERY_OPERATOR|RU_REGIONAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-06-22,Novoshakhtinsk,Novoshakhtinsk oil refinery,NODE_RU_NOVOSHAKHTINSK_REFINERY,R22D-002,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Post-C5 attribution closure; physical effect and exact node independently established.",output/REUTERS_2022_C5_TARGETED_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-003,2022,REUTERS,DG_REUTERS,R22-REU-20220401-BELGOROD,https://www.yahoo.com/news/ukraine-strikes-fuel-depot-russias-044900762.html,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,"Russia attributed strike to Ukrainian helicopters; Kyiv denied responsibility",HELICOPTER_MISSILE,Belgorod,RUSSIA_PROPER,Belgorod,,,Belgorod oil depot,TGT_RU_BELGOROD_OIL_DEPOT_20220401,NODE_RU_BELGOROD_OIL_DEPOT_20220401,,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,CONTRADICTED,RU_OFFICIAL_UA_DENIAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,VIINA_147220-RU1,2022-04-01,Belgorod,Belgorod oil depot,NODE_RU_BELGOROD_OIL_DEPOT_20220401,R22D-003,UNIQUE,,ACTOR_CONFLICT,FALSE,COMPLETE,2026-08-19,OpenAI,"Cross-lane overlap with VIINA 147220-RU1; physical event retained with attribution conflict documented.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv|output/VIINA_2022_RUSSIA_PRIORITY_MANUAL_REVIEW_V2.csv,FALSE
R22C-004,2022,REUTERS,DG_REUTERS,R22-REU-20220425-BRYANSK,https://www.euronews.com/2022/04/25/us-russia-fire-oilstorage,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,UNRESOLVED,UNRESOLVED,Bryansk,RUSSIA_PROPER,Bryansk,,,Transneft-Druzhba oil storage facility,TGT_RU_BRYANSK_TRANSNEFT_STORAGE,NODE_RU_BRYANSK_TRANSNEFT_STORAGE,,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,TRUE,CONFIRMED,NOT_ASSESSED,,,CONFIRMED_INDEPENDENT,RU_OPERATOR,UNRESOLVED,,NOT_APPLICABLE,,,2022-04-25,Bryansk,Transneft-Druzhba oil storage facility,NODE_RU_BRYANSK_TRANSNEFT_STORAGE,R22D-004,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"FORMALLY_UNDECIDABLE: physical fire and target established; no qualifying public attribution to Ukraine.",output/REUTERS_2022_C5_BRYANSK_TRANSNEFT_FINAL_V1.txt|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-005,2022,REUTERS,DG_REUTERS,R22-REU-20220427-STARAYA-NELIDOVKA,https://www.boursorama.com/bourse/actualites/des-explosions-entendues-dans-la-ville-russe-de-belgorod-gouverneur-4cd00844f20dc43e1a22ee77bce78352,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,UNRESOLVED,UNRESOLVED,Staraya Nelidovka Belgorod region,RUSSIA_PROPER,Belgorod,,,Ammunition depot,TGT_RU_STARAYA_NELIDOVKA_AMMO,NODE_RU_STARAYA_NELIDOVKA_AMMO,,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,NOT_APPLICABLE,,,2022-04-27,Staraya Nelidovka,Ammunition depot,NODE_RU_STARAYA_NELIDOVKA_AMMO,R22D-005,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"FORMALLY_UNDECIDABLE: depot fire/location established; cause and attacker unresolved.",output/REUTERS_2022_C5_REMAINING6_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-006,2022,REUTERS,DG_REUTERS,R22-REU-20220818-TIMONOVO,https://www.yahoo.com/news/russian-villagers-evacuate-ammunition-fire-181326072.html,2022-08-18,2022-08-18,2022-08-18,2022-08-18,2022-08-18,UNRESOLVED,UNRESOLVED,Timonovo/Soloti Belgorod region,RUSSIA_PROPER,Belgorod,,,Ammunition storage depot,TGT_RU_TIMONOVO_SOLOTI_AMMO,NODE_RU_TIMONOVO_SOLOTI_AMMO,,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,NOT_APPLICABLE,,,2022-08-18,Timonovo/Soloti,Ammunition storage depot,NODE_RU_TIMONOVO_SOLOTI_AMMO,R22D-006,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"FORMALLY_UNDECIDABLE: physical depot fire established; no qualifying public Ukrainian attribution.",output/REUTERS_2022_C5_REMAINING6_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-007,2022,REUTERS,DG_REUTERS,R22-REU-20220916-VALUYKI,https://www.sbs.com.au/news/article/un-plans-to-send-team-to-ukraines-izyum-after-reports-of-mass-grave/5uditdesj,2022-09-16,2022-09-16,2022-09-16,2022-09-16,2022-09-16,Belgorod governor attributed shelling to Ukraine,ARTILLERY_SHELLING,Valuyki Belgorod region,RUSSIA_PROPER,Belgorod,,,Valuyki electricity substation,TGT_RU_VALUYKI_SUBSTATION,NODE_RU_VALUYKI_SUBSTATION,,GRID_SUBSTATION,ENERGY_GRID_SUPPORT,TRUE,CONFIRMED,CONFIRMED_GT24H,2022-09-16,,SINGLE_SOURCE,RU_REGIONAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-09-16,Valuyki,Electricity substation,NODE_RU_VALUYKI_SUBSTATION,R22D-007,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"No post-C5 count delta.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-008,2022,REUTERS,DG_REUTERS,R22-REU-20221130-SURAZH,https://www.yahoo.com/news/fire-oil-storage-tank-russias-044439008.html,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,UNRESOLVED,DRONE_DROPPED_MUNITION,Surazh district Bryansk region,RUSSIA_PROPER,Bryansk,,,Kombinat Slava Rosrezerv fuel storage,TGT_RU_SURAZH_KOMBINAT_SLAVA,NODE_RU_SURAZH_KOMBINAT_SLAVA,,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_EMERGENCY_SERVICES,UNRESOLVED,,NOT_APPLICABLE,,,2022-11-30,Surazh district,Kombinat Slava fuel storage,NODE_RU_SURAZH_KOMBINAT_SLAVA,R22D-008,UNIQUE,,NONE,TRUE,COMPLETE,2026-08-19,OpenAI,"FORMALLY_UNDECIDABLE: target and mechanism resolved; drone operator unresolved.",output/REUTERS_2022_C5_REMAINING6_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-009,2022,REUTERS,DG_REUTERS,R22-REU-20221015-BELGOROD-OIL-DEPOT,https://www.anews.com.tr/world/2022/10/15/russian-fuel-depot-catches-fire-in-region-bordering-ukraine,2022-10-15,2022-10-15,2022-10-15,2022-10-15,2022-10-15,Regional/emergency reporting attributed shelling to Ukrainian armed forces,ARTILLERY_SHELLING,Razumnoye-71 Belgorod district,RUSSIA_PROPER,Belgorod,,,Razumnoye-71 fuel/oil depot,TGT_RU_RAZUMNOYE71_FUEL_DEPOT,NODE_RU_RAZUMNOYE71_FUEL_DEPOT,,FUEL_STORAGE_TERMINAL,ENERGY_STORAGE_EXPORT,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,SINGLE_SOURCE,RU_REGIONAL_EMERGENCY,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-10-15,Razumnoye-71,Fuel/oil depot,NODE_RU_RAZUMNOYE71_FUEL_DEPOT,R22D-009,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Post-C5 closure: target and Ukrainian attribution resolved.",output/REUTERS_2022_C5_REMAINING6_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-010,2022,REUTERS,DG_REUTERS,R22-REU-20221014-BELGOROD-AMMO,https://www.investing.com/news/world-news/russia-says-there-were-deaths-in-alleged-ukrainian-shelling-of-border-region-2912208,2022-10-14,2022-10-13,2022-10-13,2022-10-13,2022-10-13,Governor and Russian Investigative Committee attributed shelling to Ukrainian forces,ARTILLERY_SHELLING,Oktyabrsky Belgorod district,RUSSIA_PROPER,Belgorod,,,Oktyabrsky ammunition depot,TGT_RU_OKTYABRSKY_AMMO_20221013,NODE_RU_OKTYABRSKY_AMMO_20221013,,AMMUNITION_ARSENAL,DEFENSE_INDUSTRY,TRUE,CONFIRMED,NOT_ASSESSED,,,SINGLE_SOURCE,RU_OFFICIAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-10-13,Oktyabrsky,Ammunition depot,NODE_RU_OKTYABRSKY_AMMO_20221013,R22D-010,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Post-C5 closure: exact settlement and official Ukrainian attribution resolved.",output/REUTERS_2022_C5_TARGETED_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-011,2022,REUTERS,DG_REUTERS,R22-REU-20221205-ENGELS,https://www.euronews.com/2022/12/05/ukraine-crisis,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,Russia said Ukrainian drones attacked,DRONE,Engels Saratov region,RUSSIA_PROPER,Saratov,,,Engels strategic bomber air base,TGT_RU_ENGELS_AIRBASE,NODE_RU_ENGELS_AIRBASE,,STRATEGIC_AIRBASE,STRATEGIC_AIR,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,SINGLE_SOURCE,RU_MOD,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-12-05,Engels,Engels strategic bomber air base,NODE_RU_ENGELS_AIRBASE,R22D-011,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Distinct 5-Dec wave.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-012,2022,REUTERS,DG_REUTERS,R22-REU-20221205-DYAGILEVO,https://www.euronews.com/2022/12/05/ukraine-crisis,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,Russia said Ukrainian drones attacked,DRONE,Dyagilevo Ryazan region,RUSSIA_PROPER,Ryazan,,,Dyagilevo military air base,TGT_RU_DYAGILEVO_AIRBASE,NODE_RU_DYAGILEVO_AIRBASE,,STRATEGIC_AIRBASE,STRATEGIC_AIR,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,SINGLE_SOURCE,RU_MOD,INCLUDE_RUSSIA_PROPER,,SPLIT_COMPONENT_RESOLVED,R22-REU-20221205-ENGELS,,2022-12-05,Dyagilevo,Dyagilevo military air base,NODE_RU_DYAGILEVO_AIRBASE,R22D-012,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Distinct physical component of shared 5-Dec Reuters report.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-013,2022,REUTERS,DG_REUTERS,R22-REU-20221206-KURSK,https://theprint.in/world/drone-strikes-oil-tank-at-airfield-in-russias-kursk-region/1250846/,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,Senior Ukrainian official on background said the 5-6 Dec airfield attacks were carried out by Ukrainian drones,DRONE,Kursk,RUSSIA_PROPER,Kursk,,,Kursk airfield oil-storage tank,TGT_RU_KURSK_AIRFIELD_FUEL,NODE_RU_KURSK_AIRFIELD_FUEL,,STRATEGIC_AIRBASE,STRATEGIC_AIR,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,SINGLE_SOURCE,UA_OFFICIAL_BACKGROUND,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-12-06,Kursk,Kursk airfield oil-storage tank,NODE_RU_KURSK_AIRFIELD_FUEL,R22D-013,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Post-C5 closure: event-specific senior Ukrainian official background attribution.",output/REUTERS_2022_C5_REMAINING6_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-014,2022,REUTERS,DG_REUTERS,R22-REU-20221226-ENGELS,https://www.euronews.com/2022/12/26/ukraine-crisis-blasts-engels,2022-12-26,2022-12-26,2022-12-26,2022-12-26,2022-12-26,Russia said Ukrainian drone approached Engels,DRONE,Engels Saratov region,RUSSIA_PROPER,Saratov,,,Engels strategic bomber air base,TGT_RU_ENGELS_AIRBASE,NODE_RU_ENGELS_AIRBASE,,STRATEGIC_AIRBASE,STRATEGIC_AIR,TRUE,CONFIRMED,CONFIRMED_NO_OUTAGE,,,SINGLE_SOURCE,RU_MOD,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,VIINA_291978,2022-12-26,Engels,Engels strategic bomber air base,NODE_RU_ENGELS_AIRBASE,R22D-014,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Distinct repeat wave; cross-lane overlap with VIINA 291978.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv|output/VIINA_2022_R5_HIGH_PRIORITY_MANUAL_REVIEW_V3.csv,FALSE
R22C-015,2022,REUTERS,DG_REUTERS,R22-REU-20221012-SHEBEKINO,https://www.euronews.com/2022/10/12/ukraine-crisis-russia-belgorod-shelling,2022-10-12,2022-10-11,2022-10-11,2022-10-11,2022-10-11,Belgorod governor attributed shelling to Ukraine,ARTILLERY_SHELLING,Shebekino Belgorod region,RUSSIA_PROPER,Belgorod,,,Shebekino electricity substation,TGT_RU_SHEBEKINO_SUBSTATION,NODE_RU_SHEBEKINO_SUBSTATION,,GRID_SUBSTATION,ENERGY_GRID_SUPPORT,TRUE,CONFIRMED,CONFIRMED_GT24H,2022-10-11,,SINGLE_SOURCE,RU_REGIONAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-10-11,Shebekino,Electricity substation,NODE_RU_SHEBEKINO_SUBSTATION,R22D-015,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Substation hit; outage documented.",output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-016,2022,REUTERS,DG_REUTERS,R22-REU-20221013-KURSK-SUBSTATION,https://kelo.com/2022/10/13/russian-border-regions-say-ukraine-shelled-buildings-disrupted-power-supply/,2022-10-13,2022-10-13,2022-10-13,2022-10-13,2022-10-13,Kursk governor reported arrivals from Ukrainian side,ARTILLERY_SHELLING,Popovo-Lezhachi Kursk region,RUSSIA_PROPER,Kursk,,,Popovo-Lezhachi transformer substation,TGT_RU_POPOVO_LEZHACHI_SUBSTATION,NODE_RU_POPOVO_LEZHACHI_SUBSTATION,,GRID_SUBSTATION,ENERGY_GRID_SUPPORT,TRUE,CONFIRMED,CONFIRMED_GT24H,2022-10-13,,SINGLE_SOURCE,RU_REGIONAL,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2022-10-13,Popovo-Lezhachi,Transformer substation,NODE_RU_POPOVO_LEZHACHI_SUBSTATION,R22D-016,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,OpenAI,"Post-C5 closure: exact location/node and Ukrainian-side attribution resolved.",output/REUTERS_2022_C5_TARGETED_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
R22C-017,2022,REUTERS,DG_REUTERS,R22-REU-20221130-KURSK-POWER,https://www.yahoo.com/news/fire-oil-storage-tank-russias-044439008.html,2022-11-30,2022-11-29,2022-11-29,2022-11-29,2022-11-29,Kursk governor attributed strike to Ukrainian Armed Forces,UNRESOLVED,Sudzha district Kursk region,RUSSIA_PROPER,Kursk,,,Sudzha district energy-supply object,,,PG_RU_SUDZHA_ENERGY_20221129,POWER_GRID_SUPPORT,ENERGY_GRID_SUPPORT,UNCERTAIN,CONFIRMED,CONFIRMED_GT24H,2022-11-29,,SINGLE_SOURCE,RU_REGIONAL,UNRESOLVED,,SPLIT_COMPONENT_TARGET_ID_UNRESOLVED,,,2022-11-29,Sudzha district,Energy-supply object,,R22D-017,NOT_ASSESSABLE_UNRESOLVED_TARGET,,SOURCE_DATE_CONFLICT,TRUE,COMPLETE,2026-08-19,OpenAI,"FORMALLY_UNDECIDABLE: actor resolved; exact TargetID/NodeID not recoverable. Canonical date corrected to 2022-11-29.",output/REUTERS_2022_C5_REMAINING6_RESOLUTION_V1.csv|output/REUTERS_2022_SOURCE_COMPONENT_MANIFEST_V1.csv,FALSE
