AuditID,Direction,CanonicalEventDate,TargetOrEvent,V1Status,V3Status,TraceStatus,ReferenceOrReason,ClosureEffect
SD-001,V1_NOT_IN_V3,2025-01-29,Andreapol oil pumping station,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-002,V1_NOT_IN_V3,2025-02-03,Volgograd oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-003,V1_NOT_IN_V3,2025-02-19,Syzran oil refinery,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary states early-Q1 Syzran was not confirmed; Reuters chronology resolves to 4-Mar targeting without independently established qualifying effect",CLEARED
SD-004,V1_NOT_IN_V3,2025-05-05,Rylsk electricity substation,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-005,V1_NOT_IN_V3,2025-08-10,Saratov oil refinery,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary explicitly downgrades Saratov 10-Aug to provisional because reviewed Reuters evidence principally relayed Ukrainian claims",CLEARED
SD-006,V1_NOT_IN_V3,2025-09-16,Saratov oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-007,V1_NOT_IN_V3,2025-09-20,Samara-region refinery/processing event,NEW_CONFIRMED,RESOLVED_AS_NOVOKUIBYSHEVSK,PARTIAL_TRACE,"Later resolution merges R25R-0056 and R25R-0098 as one Novokuibyshevsk 20-Sep event now present in V3; exact V1 +44 source-component to reconciliation-row mapping remains undocumented",BLOCKS_PROVENANCE_MAPPING
SD-008,V1_NOT_IN_V3,2025-09-20,Saratov oil refinery,NEW_CONFIRMED,ABSENT,EXPLICIT_DOWNGRADE,"V2 summary explicitly downgrades Saratov/Samara 20-Sep claim-based records lacking sufficient independent target-effect confirmation; distinct Novokuibyshevsk resolution handled separately",CLEARED
SD-009,V1_NOT_IN_V3,2025-09-26,Afipsky oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; no explicit V2/later final disposition located in current closure artifacts",BLOCKS_REVIEW_CLOSURE
SD-010,V1_NOT_IN_V3,2025-10-13,Kirishi oil refinery,NEW_CONFIRMED,ABSENT,UNRESOLVED_ENDSTATE,"V1 +44 listed event; V3 instead contains Kirishi 4-Oct; no explicit disposition of the 13-Oct V1 event located",BLOCKS_REVIEW_CLOSURE
