SourceComponentID,Quarter,SearchFamily,CellOrdinal,RecoveredCanonicalDate,RecoveredTargetOrEvent,RecoveredFrom,RecoveryStatus,Anchor,FinalDisposition,Notes
R25S-Q1-R1-01,Q1,R1_ENERGY_REFINING,1,2025-03-14,Tuapse oil refinery,R25-0002,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Fire after Ukrainian drone attack
R25S-Q1-R1-02,Q1,R1_ENERGY_REFINING,2,2025-03-08,Kirishi oil refinery,R25-0003,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Tank damaged by drone debris
R25S-Q1-R1-03,Q1,R1_ENERGY_REFINING,3,2025-01-24,Ryazan oil refinery,R25-0004,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Operations suspended; storage tanks burned and equipment damaged
R25S-Q1-R1-04,Q1,R1_ENERGY_REFINING,4,2025-02-24,Ryazan oil refinery,R25-0005,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Operations suspended again after fresh attack
R25S-Q1-R1-05,Q1,R1_ENERGY_REFINING,5,2025-02-11,Saratov oil refinery,R25-0006,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Fuel production suspended after Ukrainian drone attack
R25S-Q1-R1-06,Q1,R1_ENERGY_REFINING,6,2025-03-04,Syzran oil refinery,R25-0007,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Targeted in attack
R25S-Q1-R1-07,Q1,R1_ENERGY_REFINING,7,2025-02-03,Astrakhan gas processing plant,R25-0008,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Fuel production suspended after attack
R25S-Q1-R1-08,Q1,R1_ENERGY_REFINING,8,2025-03-17,Astrakhan gas processing plant,R25-0009,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Fresh attack reported
R25S-Q1-R1-09,Q1,R1_ENERGY_REFINING,9,2025-02-03,Volgograd oil refinery,R25-0010,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Drone strike; later operational halt context
R25S-Q1-R1-10,Q1,R1_ENERGY_REFINING,10,2025-01-29,Sibur-Kstovo petrochemical plant,R25-0011,EXACT,Reuters 2025-03-19 energy chronology,BRIDGED,Product shipments suspended after Ukrainian drone attack
R25S-Q1-R1-11,Q1,R1_ENERGY_REFINING,11,2025-03-02,Ilsky oil refinery,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters 2025-03-19 energy chronology,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q1-R2-01,Q1,R2_ENERGY_STORAGE_EXPORT,1,2025-03-19,Kavkazskaya oil depot,R25-0001,EXACT,Reuters 2025-03-19 Kavkazskaya/oil-depot coverage,BRIDGED,Fire after Ukrainian drone attack
R25S-Q1-R3-01,Q1,R3_PIPELINE_PUMPING,1,2025-01-29,Andreapol oil pumping station,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Jan/Feb pipeline reports; 2025-03-11 Druzhba report,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q1-R3-02,Q1,R3_PIPELINE_PUMPING,2,2025-02-17,Kropotkinskaya CPC pumping station,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Jan/Feb pipeline reports; 2025-03-11 Druzhba report,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
R25S-Q1-R3-03,Q1,R3_PIPELINE_PUMPING,3,2025-03-04,Chertkovsky district oil pipeline,RECONCILIATION_INFERENCE,ANCHORED_ONLY,Reuters Jan/Feb pipeline reports; 2025-03-11 Druzhba report,BRIDGED,Identity inferred from cell quota plus R25R reconciliation; no frozen row-level ReutersHitID proves this exact source component.
